id,aggregate value
104,actor 1912-01-01 1998-01-01 Charles G. Martin
105,1993-01-01 1927-01-01 actor Guy Lee
106,"1927-01-01 director,actor,writer J?rgen Goslar"
107,1978-01-01 actor James Bulliard
108,"Sally Blane 1910-01-01 1997-01-01 actress,soundtrack"
109,actor Samir
110,"Delroy Brown actor,producer"
111,2007-01-01 Rain Shadow 2007-01-01 0 Rain Shadow Drama 60
112,Peril at Pitcairn 9 1 Adventure 0 1959-01-01 Peril at Pitcairn 60
113,"Philip Akin actor,miscellaneous 1950-01-01"
114,Appointment at Tara-Bi Adventure 0 1 Appointment at Tara-Bi 1961-01-01 3 60
115,"Charles Napier actor,soundtrack,music_department 2011-01-01 1936-01-01"
116,"Nancy Gates 2019-01-01 1926-01-01 actress,soundtrack"
117,actor 2020-01-01 1963-01-01 Paul Haddad
118,"2 21 Uncle Harry's Horrible House of Horrors 0 1994-01-01 10 Uncle Harry's Horrible House of Horrors Animation,Comedy,Fantasy"
119,"producer,writer Jason Horwitch"
120,"Dipankar Dey actor,miscellaneous 1944-01-01"
121,actor Harry Arnie 1984-01-01 1907-01-01
122,Paul Harvey 1882-01-01 1955-01-01 actor
123,"1900-01-01 1993-01-01 Fritz Feld actor,miscellaneous,soundtrack"
124,actress Sari Mordana
125,"1893-01-01 Fay Bainter actress,soundtrack 1968-01-01"
126,"1977-01-01 actress,soundtrack Ver?nica S?nchez"
127,"1963-01-01 Nick Gomez director,writer,actor"
128,Tom Dyer
129,writer Bernard Cornwell 1944-01-01
130,actor Walter Brooke 1986-01-01 1914-01-01
131,Candy Moore 1947-01-01 actress
132,"Documentary,History,War 2005-01-01 56 Le 8 mai 1945, la capitulation 0 Le 8 mai 1945, la capitulation"
133,actor John Allegra
134,"1969-01-01 Ami Canaan Mann director,writer,soundtrack"
135,"Christopher Redman 1980-01-01 actor,director,writer"
136,"Helmut Weiss 1907-01-01 director,actor,writer 1969-01-01"
137,1988-01-01 1916-01-01 actor Naaman Brown
138,Adventure A Bride for the Captain 1962-01-01 0 23 48 A Bride for the Captain 3
139,"20 1996-01-01 Crime,Drama,Mystery 0 The Damage Done 4 The Damage Done"
140,"Hugo Grimaldi 1912-01-01 1998-01-01 miscellaneous,editor,producer"
141,1977-01-01 actor 1907-01-01 Willis Bouchey
142,1963-01-01 Kristina Lilley actress
143,30 0 Drama Take Care of My Child 11 1956-01-01 4 Take Care of My Child
144,"Jean-Marc Thibault 1923-01-01 actor,soundtrack,writer 2017-01-01"
145,Sermin H?rmeri? 1947-01-01 actress
146,Roger Til actor 2002-01-01 1909-01-01
147,"Ori Pfeffer 1975-01-01 actor,miscellaneous"
148,Gertrude Flynn 1996-01-01 actress 1909-01-01
149,1949-01-01 George Buza actor
150,Rose Barbato actress
151,2 30 2001-01-01 The Car Salesman The Car Salesman 0 1 Comedy
152,"2019-01-01 actress,miscellaneous Gloria Vanderbilt 1924-01-01"
153,"actor,camera_department Robert Dowdell 1932-01-01 2018-01-01"
154,actor Yan Tual
155,Walter Rathgeber writer
156,30 Off-Duty Affair 1960-01-01 0 Drama Off-Duty Affair 7 16
157,"2019-01-01 writer,actor,producer 1942-01-01 Bob Einstein"
158,actress 1975-01-01 Valentina Cardinalli
159,"1948-01-01 Ivica Matic writer,cinematographer,director 1976-01-01"
160,"Justin Brady actor,art_department"
161,"James Foley director,writer,producer 1953-01-01"
162,2 Reality-TV 0 2 2006-01-01 Super Dirty Super Dirty
163,"1 Crime,Drama Joey the Weep 1974-01-01 0 Joey the Weep 16 60"
164,"1937-01-01 actress,soundtrack Susan Hampshire"
165,Audrey Lives writer
166,Natalya Loginova editor
167,"1943-01-01 Ray Loring music_department,composer,producer 2008-01-01"
168,"1947-01-01 actor,writer,producer Richard Lewis"
169,"20 0 2 Documentary,Music Katy Perry 2009-01-01 Katy Perry"
170,"1 Son of a Gun Son of a Gun Crime,Drama,Mystery 0 3 1993-01-01"
171,"Misha Manson-Smith 1973-01-01 director,producer,editor"
172,"writer,miscellaneous Patricia Falken Smith 2001-01-01 1926-01-01"
173,1 Interior Decorator Interior Decorator 0 29 Comedy 5 2000-01-01
174,"producer,writer 1920-01-01 1991-01-01 Matthew Rapf"
175,Liam Barr actor
176,"1990-01-01 actor,soundtrack,music_department Tom Clancy 1923-01-01"
177,"Wolfgang Liebeneiner director,actor,writer 1987-01-01 1905-01-01"
178,"production_designer,art_department,art_director Michael Whetstone"
179,actor 1953-01-01 Joey Scott
180,"1977-01-01 producer,director,writer Cary Joji Fukunaga"
181,actor 2018-01-01 1923-01-01 Wright King
182,1922-01-01 John Van Dreelen actor 1992-01-01
183,1 Chick Sexer Reality-TV 44 0 2005-01-01 4 Chick Sexer
184,"producer,writer,director Patrick Loubert"
185,Billy Bretherton
186,Vicious 23 2013-01-01 0 Vicious Comedy 2016-01-01
187,"Jayne Eastwood 1946-01-01 actress,soundtrack"
188,"1908-01-01 1980-01-01 director,writer,actor Helmut K?utner"
189,"Kiss Tomorrow Goodbye Crime,Drama,Mystery 58 0 2 Kiss Tomorrow Goodbye 2019-01-01 3"
190,Mike Grimmer actor
191,"editor,editorial_department,producer Alpesh Patel"
192,"2013-01-01 1928-01-01 Jeanne Cooper actress,soundtrack"
193,105 Smokey Joe's Cafe: The Songs of Leiber and Stoller Smokey Joe's Cafe: The Songs of Leiber and Stoller Musical 2002-01-01 0
194,"Estela Bravo director,writer,producer"
195,1910-01-01 actress 1973-01-01 Mary Adams
196,writer Nancy Burrage Owen
197,1900-01-01 actress 1984-01-01 Elvira Curci
198,"1983-01-01 actor,soundtrack 1918-01-01 Alan Dexter"
199,writer Jay Simms
200,Kamal Xudaverdiyev actor 2008-01-01
201,"director,producer David Moore"
202,Chris Snell actor
203,The Benadryl Brownie 0 2 29 Comedy The Benadryl Brownie 2002-01-01 3
204,"writer,producer Kenneth L. Evans"
205,"Mychelle Deschamps producer,art_department"
206,2000-01-01 Lev Lyubetskiy actor 1920-01-01
207,2 30 1954-01-01 No Help Wanted 0 Drama 10 No Help Wanted
208,Oscar Zia actor 1996-01-01
209,"1929-01-01 Vance Gerry writer,animation_department,art_department 2005-01-01"
210,"actor,producer,miscellaneous Mike Connors 1925-01-01 2017-01-01"
211,"writer,producer,actor 1918-01-01 1969-01-01 Palmer Thompson"
212,1921-01-01 actor Peter Hansen 2017-01-01
213,"1 Crime,Drama 0 Blockhouse Breakdown Blockhouse Breakdown 6 60 1973-01-01"
214,"Shin Onuma director,art_department,animation_department"
215,Ty
216,30 Week-End in Winnetka 0 Week-End in Winnetka 2 Drama 1955-01-01 3
217,"Finnegan's Wake 1998-01-01 Crime,Drama,Mystery 0 Finnegan's Wake 21 6"
218,writer Eline Farideh Koning
219,1943-01-01 actress Spela Rozin
220,"1890-01-01 1962-01-01 James Barton actor,soundtrack,writer"
221,30 Affirmative Action 9 1 0 Affirmative Action Comedy 2000-01-01
222,"editor,producer,editorial_department Scott Boyd"
223,"1 Crime,Drama Time and Place Unknown: Part 1 1974-01-01 0 11 Time and Place Unknown: Part 1 60"
224,Michelyn Emelle actress
225,Elizabeth Shepherd 1936-01-01 actress
226,"actor,writer 2013-01-01 1936-01-01 Tony Musante"
227,2007-01-01 The Freak Book 0 29 Comedy 6 5 The Freak Book
228,2 Alligator Farmer 43 Reality-TV 0 Alligator Farmer 2006-01-01 5
229,"Jenny Eclair actress,writer 1960-01-01"
230,1993-01-01 writer Doris Gilbert 1914-01-01
231,Steve Givens composer
232,actress 1939-01-01 Albina Matveyeva 2016-01-01
233,"actor,miscellaneous,producer 1992-01-01 Alan Dinehart 1918-01-01"
234,1964-01-01 1892-01-01 Helen Van Tuyl actress
235,"42 Zashchitnik Sedov Drama,Short 1988-01-01 Zashchitnik Sedov 0"
236,"writer,miscellaneous 2006-01-01 1924-01-01 Anne Howard Bailey"
237,"1958-01-01 editor,editorial_department,sound_department Susan Shipton"
238,"1985-01-01 Cristin Milioti actress,writer,producer"
239,Adrian Bailey actor
240,30 The Preliminaries 0 The Preliminaries Drama 22 8 1961-01-01
241,"A Doll's Eyes Crime,Drama,Mystery 0 6 1995-01-01 4 A Doll's Eyes"
242,"1 Joby Drama,Sport,Western 0 23 1963-01-01 Joby"
243,"1906-01-01 actor,soundtrack James Flavin 1976-01-01"
244,"Chuck Conry 1983-01-01 writer,director,actor"
245,"1896-01-01 cinematographer,camera_department,miscellaneous 1970-01-01 Norbert Brodine"
246,"1938-01-01 Diane Baker actress,producer,production_manager"
247,"1 2017-01-01 Animation,Comedy,Family 0 Fix It Mum and Dad 43 Fix It Mum and Dad"
248,30 0 2 Drama For Better or for Worse 6 1958-01-01 For Better or for Worse
249,240 1 Flesh Hunter 8 Adult 2005-01-01 Flesh Hunter 8
250,"1954-01-01 producer,writer,miscellaneous Michael S. Chernuchin"
251,"1985-01-01 Nicholas Colasanto actor,director,soundtrack 1924-01-01"
252,"1982-01-01 Warren Oates actor,soundtrack,music_department 1928-01-01"
253,writer Helen Garnell
254,Evelyn Eaton 1964-01-01 actress 1924-01-01
255,Adventure The Velvet Trap 1962-01-01 0 48 16 3 The Velvet Trap
256,1966-01-01 actress Vijayshanti
257,"Lev Durov 1931-01-01 2015-01-01 actor,director,soundtrack"
258,"1922-01-01 actor,soundtrack James Pritchett 2011-01-01"
259,"actress,soundtrack Sanae Kobayashi 1980-01-01"
260,Elva Mai Hoover actress
261,actor J. Sean Elliott
262,"End Game Crime,Drama,Mystery 0 1995-01-01 14 3 End Game"
263,Gordon Barnes actor
264,1990-01-01 actor Harry Lauter 1914-01-01
265,"1977-01-01 actor,miscellaneous,producer Miklos Perlus"
266,0 49 12 Drama 2015-01-01 Chapter 38 Chapter 38 3
267,"30 1 Barbecue 1960-01-01 Barbecue 0 11 Adventure,Drama,Family"
268,"1 2003-01-01 0 2 Biography,Comedy,Documentary Isaac Newton Isaac Newton"
269,writer Lloyd Rose
270,"actor,writer,miscellaneous Josh Grelle 1985-01-01"
271,Chapter 29 53 0 Drama Chapter 29 2015-01-01 3 3
272,"Hannu Kahakorpi 1946-01-01 producer,actor,director"
273,writer Pierre Cendors
274,30 0 12 Drama Alien Love 1959-01-01 7 Alien Love
275,"music_department,director,producer Kip Walton"
276,Nicholas Day actor
277,"2019-01-01 1932-01-01 actor,soundtrack,director Gerd Baltus"
278,2 Treffpunkt Wien 58 1964-01-01 0 Drama Treffpunkt Wien 4
279,Viet Thanh Pham cinematographer
280,actor Henry S. Quan
281,"Dick Clark producer,actor,miscellaneous 2012-01-01 1929-01-01"
282,"composer,music_department,soundtrack Jeff Beal 1963-01-01"
283,"director,producer,location_management Becky Martin"
284,30 1 7 0 Drama The One That Got Away 1953-01-01 The One That Got Away
285,"Sajeev Pazhoor 1974-01-01 writer,actor"
286,"Fight Night 1 Drama,Sport,Western 1962-01-01 0 2 Fight Night 60"
287,"Biography,Documentary,History The Mystery of Matter: Search for the Elements 0 2015-01-01 2015-01-01 60 The Mystery of Matter: Search for the Elements"
288,"2 Action,Adventure,Animation ?Viva los muertos! 22 0 ?Viva los muertos! 11 2006-01-01"
289,"cinematographer,camera_department Barun Raha"
290,Randall Anderson writer
291,"Reinhard Glemnitz 1930-01-01 actor,miscellaneous"
292,"writer,producer Paul Attanasio 1959-01-01"
293,"1960-01-01 Faith, Hope and Mr. Flaherty 0 Drama Faith, Hope and Mr. Flaherty 7 27"
294,The Floating Fortune 1 Adventure 1962-01-01 0 The Floating Fortune 17
295,Adventure The Reluctant Hero 0 2 1961-01-01 The Reluctant Hero 3 60
296,writer Esther McCoy
297,"editor,assistant_director,camera_department Elfie Tillack"
298,Juarez Roberts writer
299,actor Roberto Rossellini
300,"2019-01-01 composer,music_department 1937-01-01 Milcho Leviev"
301,Ren
302,"Richard Alan Simmons writer,producer 2004-01-01 1924-01-01"
303,producer Charles Mintz 1939-01-01 1889-01-01
304,1951-01-01 Jadranka Matkovic actress
305,actor Berry Kroeger 1912-01-01 1991-01-01
306,30 18 0 Drama 1956-01-01 A Ticket for May A Ticket for May 3
307,"production_designer,art_department,art_director 1929-01-01 2011-01-01 Ed Wittstein"
308,Paul Micale 1916-01-01 actor 1999-01-01
309,"Jean Bolvary producer,writer,director"
310,"Family,Fantasy 30 0 1985-01-01 Pob's Programme Pob's Programme 1990-01-01"
311,producer Chuck Copeland
312,Adventure One Way Ticket 0 One Way Ticket 10 1961-01-01 3 60
313,Herbert Reinecker writer 2007-01-01 1914-01-01
314,"producer,miscellaneous 1995-01-01 1918-01-01 Lionello Santi"
315,"Carlo Siliotto composer,music_department,soundtrack 1950-01-01"
316,Lynette Eads
317,"1993-01-01 Jeff Morrow actor,soundtrack 1907-01-01"
318,"Pekka Lehto 1948-01-01 director,writer,sound_department"
319,2 30 18 The Girl Who Knew 0 Drama 1955-01-01 The Girl Who Knew
320,"1931-01-01 Agn?s Guillemot 2005-01-01 editor,miscellaneous"
321,"Chris Grega actor,director,writer"
322,"Jayne Atkinson actress,producer 1959-01-01"
323,"1970-01-01 136 Obyknovennaya istoriya Obyknovennaya istoriya 0 Drama,Romance"
324,1 Adventure 1962-01-01 0 13 Tambu Tambu
325,"Edward Barbini producer,director,writer"
326,"Dwayne Hickman actor,soundtrack,director 1934-01-01"
327,Doug Wolven miscellaneous
328,"cinematographer,camera_department William W. Spencer 1921-01-01 2007-01-01"
329,30 Harbormaster Adventure 1957-01-01 1958-01-01 0 Harbormaster
330,"2003-01-01 writer,miscellaneous,producer 1920-01-01 Sidney Morse"
331,Ken Renard 1993-01-01 actor 1905-01-01
332,"2012-01-01 John Kemeny 1925-01-01 producer,editor,director"
333,1973-01-01 Jun Mizuki actress
334,"actress,director,writer 1957-01-01 Rachel Ward"
335,30 0 Drama 1958-01-01 South American Uncle 27 5 South American Uncle
336,D?bora Duarte actress 1950-01-01
337,"Steve Radenbaugh actor,transportation_department"
338,actor 2001-01-01 Harry Townes 1914-01-01
339,"Kevin Arkadie 1957-01-01 writer,producer,miscellaneous"
340,Chapter 11 1 55 2013-01-01 0 Drama 11 Chapter 11
341,2 Adventure Nightmare in the Sun 0 Nightmare in the Sun 35 1961-01-01 60
342,"actress,director Leona Hirota 1963-01-01"
343,Mark Chapman actor 1955-01-01
344,1941-01-01 Charlotte Stewart actress
345,"2009-01-01 Crime,Documentary 0 2005-01-01 CIA: Crime Investigation Australia 60 CIA: Crime Investigation Australia"
346,"21 1999-01-01 7 So Very Attractive 0 So Very Attractive Animation,Comedy,Fantasy 3"
347,30 1 Adventure 1957-01-01 The Thievingest Dog 0 1 The Thievingest Dog
348,"2003-01-01 writer,producer Harry Miles Muheim 1920-01-01"
349,"1973-01-01 1915-01-01 actress,soundtrack Veda Ann Borg"
350,"1938-01-01 Don Pedro Colley actor,director,producer 2017-01-01"
351,"2002-01-01 1919-01-01 writer,actor,producer George Bellak"
352,"1930-01-01 actor,producer 2011-01-01 Nico Minardos"
353,actress Betsy Paul
354,"director,producer,writer Brad Anderson 1964-01-01"
355,30 1 The Faith of Chata 0 13 Drama 1953-01-01 The Faith of Chata
356,2000-01-01 1938-01-01 actor Robert Doyle
357,"1982-01-01 Hans Conried 1917-01-01 actor,soundtrack,miscellaneous"
358,"Diane Taylor 2016-01-01 writer,producer,miscellaneous"
359,"editor,editorial_department Charles Oestreicher"
360,"John Close 1921-01-01 actor,soundtrack 1963-01-01"
361,Ben Batt actor 1986-01-01
362,actor 2002-01-01 Ralph Clanton 1914-01-01
363,"actor,writer Steve Toussaint 1965-01-01"
364,1949-01-01 actor Ross Davidson 2006-01-01
365,Dorothy Green actress 1920-01-01 2008-01-01
366,1930-01-01 actress Tamar Cooper
367,"1971-01-01 actor,producer,soundtrack Nathan Fillion"
368,"director,cinematographer,camera_department Alex Zakrzewski"
369,"1968-01-01 producer,writer,animation_department Ben Edlund"
370,Rodney McMahon actor
371,"Elizabeth Winter editor,producer,writer"
372,"Chantal Jackson writer,producer,miscellaneous"
373,"8 Sniper: Part 1 1996-01-01 Crime,Drama,Mystery 0 Sniper: Part 1 4"
374,Ed Canler
375,actress 1975-01-01 Chiemi Chiba
376,Frank R. Roach actor
377,Walter 'PeeWee' Flannery actor
378,"producer,production_manager David Coujard"
379,"84 Documentary,Music Gackt Live Tour 2000: Mars sora kara no houmonsha/Visitor from the Sky - La r?miniscence 0 Gackt Live Tour 2000: Mars sora kara no houmonsha/Visitor from the Sky - La r?miniscence 2000-01-01"
380,30 Somebody Else's Dream Somebody Else's Dream 0 Drama 1956-01-01 15 4
381,Alon Hamawi actor
382,"Richard Arlen actor,soundtrack 1976-01-01 1899-01-01"
383,"1921-01-01 2002-01-01 John Agar actor,music_department"
384,1989-01-01 Angel Chiang actress
385,1977-01-01 Yaniv Swissa actor
386,"actress,director,soundtrack 1929-01-01 Margit Saad"
387,"actress,soundtrack,producer 1972-01-01 Molly Parker"
388,"Bianca Kronl?f actress,writer 1985-01-01"
389,writer Ernest F. Miller
390,"Nearer My God to Thee Crime,Drama,Mystery 0 Nearer My God to Thee 1994-01-01 1 3"
391,"Anna Lee 2004-01-01 actress,soundtrack 1913-01-01"
392,"2 Game Over 21 0 1994-01-01 1 Game Over Animation,Comedy,Fantasy"
393,30 1 Adventure Survival 0 Survival 1958-01-01 15
394,"2012-01-01 actress,miscellaneous Patricia Donahue 1925-01-01"
395,Keith Drinkel actor 1944-01-01
396,"Raymond Guth actor,miscellaneous 1924-01-01"
397,"1996-01-01 Ben Johnson 1918-01-01 actor,stunts,miscellaneous"
398,"writer,producer 1912-01-01 1980-01-01 Steve Fisher"
399,"2013-01-01 actor,director Arthur Storch 1925-01-01"
400,"1922-01-01 William Phipps actor,producer 2018-01-01"
401,"1926-01-01 actor,soundtrack,music_department Carleton Carpenter"
402,30 My Own Master 1960-01-01 0 13 Drama 8 My Own Master
403,"1951-01-01 Ernest R. Dickerson director,cinematographer,camera_department"
404,"Art Wallace writer,producer,miscellaneous"
405,"director,producer,assistant_director 1937-01-01 Peter Medak"
406,"1992-01-01 1931-01-01 Ray Danton actor,director,producer"
407,"composer,music_department,soundtrack 1944-01-01 Mike Post"
408,"1932-01-01 composer,music_department,soundtrack 2016-01-01 Isao Tomita"
409,1982-01-01 actor James Philbrook 1924-01-01
410,"1922-01-01 actor,soundtrack 1994-01-01 Royal Dano"
411,2 43 Mushroom Farmer 7 Reality-TV 0 Mushroom Farmer 2006-01-01
412,"camera_department,miscellaneous,producer Dan Eggiman"
413,"Eugene Iglesias 1926-01-01 actor,soundtrack"
414,"1999-01-01 Crime,Drama,Mystery 0 Shades of Gray 10 7 Shades of Gray"
415,Jos? Basseti actor
416,Linda Cunningham actress
417,Nick De Ruiz 1871-01-01 actor 1959-01-01
418,Gloria G?mez actress
419,30 0 Little League Drama 1956-01-01 4 4 Little League
420,"actor,writer 1918-01-01 2004-01-01 John Trayne"
421,"2 30 The Tramp 0 6 Adventure,Drama,Family 1961-01-01 The Tramp"
422,actor 2020-01-01 James Drury 1934-01-01
423,"Tatsuya Oishi director,art_department,production_manager"
424,"1993-01-01 1909-01-01 Jerry Hausner actor,miscellaneous,writer"
425,actor 2018-01-01 1923-01-01 Dewey Martin
426,"actor,soundtrack,producer 1974-01-01 Takahiro Sakurai"
427,"Azadeh Moussavi director,writer,producer"
428,"Anna Karina 1940-01-01 2019-01-01 actress,soundtrack,writer"
429,1 Reality-TV 0 2018-01-01 Jag har ju inga medel att vara en normal pappa just nu 4 Jag har ju inga medel att vara en normal pappa just nu
430,"2016-01-01 cinematographer,director,actor 1924-01-01 Raoul Coutard"
431,"Lines of Fire 1999-01-01 20 Crime,Drama,Mystery 0 Lines of Fire 7"
432,John Shook
433,"1930-01-01 1997-01-01 producer,director Graeme MacDonald"
434,"Damon D'Oliveira 1964-01-01 actor,producer,camera_department"
435,writer Anthony Aston
436,"Ben Foster music_department,composer,soundtrack"
437,Warren Lee actor
438,"2 30 20 The Feud 1962-01-01 0 The Feud Adventure,Drama,Family"
439,"1958-01-01 Brad Hall writer,producer,actor"
440,2019-01-01 actor 1931-01-01 John Clarke
441,"actor,soundtrack 1994-01-01 Robert Emhardt 1914-01-01"
442,"2000-01-01 1927-01-01 R. Wright Campbell writer,actor"
443,"Mariana Ximenes actress,producer,soundtrack 1981-01-01"
444,"Barbara Bain 1931-01-01 actress,soundtrack"
445,S?suke Takaoka 1982-01-01 actor
446,30 0 12 Drama 6 1958-01-01 Most Honorable Day Most Honorable Day
447,1982-01-01 actress Olivia Stambouliah
448,"Andrew Brooke actor,producer,writer"
449,"1993-01-01 actor,writer,script_department Dennis Castle 1914-01-01"
450,"1916-01-01 actor,soundtrack 2004-01-01 Richard Ney"
451,"cinematographer,camera_department Hannes Schindler"
452,Carmen Austin actress
453,1 Reality-TV 0 2005-01-01 Dirtiest Animals Dirtiest Animals 14
454,30 To Open a Door 0 23 Drama 1958-01-01 5 To Open a Door
455,"19 Deception Crime,Drama,Mystery 0 1997-01-01 Deception 5"
456,"actor,writer Bart Burns 1918-01-01 2007-01-01"
457,1 8 Heaven and Back 0 Heaven and Back Comedy 2005-01-01
458,"Alanna Goodman costume_designer,costume_department,producer"
459,"actress,costume_designer,producer Danielle Cormack 1970-01-01"
460,1971-01-01 actor Ralph Moody 1886-01-01
461,"actor,director,editor Rob Stefaniuk"
462,"1970-01-01 1915-01-01 Anita Louise actress,soundtrack"
463,"actress,director,writer Ku Hye-Sun 1984-01-01"
464,1962-01-01 actress Sakina Jaffrey
465,30 1 1954-01-01 Lady in Wet Paint 0 Drama Lady in Wet Paint 36
466,Thiago Lacerda 1978-01-01 actor
